Fold,Train_Accuracy,Train_Precision,Train_Recall,Train_F1,Train_MCC,Val_Accuracy,Val_Precision,Val_Recall,Val_F1,Val_MCC,Test_Accuracy,Test_Precision,Test_Recall,Test_F1,Test_MCC,Training_Time,Val_Accuracy_Epoch,experiment_suffix,batch_size,adaptive_method
1,0.999580225386677,0.9995803876208048,0.9994552284615038,0.9995177477282045,0.9994197263285748,0.999709398870807,0.9997305794270286,0.9996366281898604,0.9996835329499576,0.9995976607416862,0.9996263637722314,0.999679406403836,0.999589779275139,0.9996345631306583,0.9994834282837172,184.68736910820007,0.9998339414596558,GGAR1,128,Adaptive
2,0.9997001623736068,0.9996342607802576,0.99969889291031,0.9996664579343522,0.9995856293733308,0.9996678706356126,0.9995965301593706,0.9996293901642068,0.9996127241987344,0.9995398847987188,0.9996637273950082,0.999607161486118,0.9996654117032984,0.9996360720792096,0.9995352130932014,112.2676877975464,0.9996678829193116,GGAR1,128,Adaptive
3,0.999091261347701,0.9991428061654142,0.9992848736409022,0.9992130836566858,0.9987444310023345,0.9991696765890314,0.9992389639694184,0.9993666841139236,0.9993022032843822,0.9988534241530348,0.9990285458078016,0.9990387524488652,0.9992077313842906,0.9991224619064762,0.9986578642305082,198.04620957374573,0.9998339414596558,GGAR1,128,Adaptive
4,0.9995156469112112,0.9994410879923504,0.9994876867338413,0.9994640924090096,0.9993304096009374,0.9995848382945156,0.9994423769141602,0.9995307435878812,0.9994861895221928,0.9994267690862624,0.9993648184127932,0.9992153103219304,0.9993420254151624,0.9992780883871722,0.999122052752058,110.71654462814332,0.9999584555625916,GGAR1,128,Adaptive
5,0.9999215809284818,0.9999449870366516,0.9999252528068046,0.999935114607879,0.999891550041927,0.9997509029767094,0.9998199465078446,0.9997477065719452,0.9997837832458384,0.9996565970310874,0.9998879091316694,0.9998886414801272,0.9999064065534438,0.9998975149846042,0.9998450323972536,107.6034643650055,0.9998754262924194,GGAR1,128,Adaptive
6,0.9985423278470736,0.998558901210106,0.9988734433587598,0.9987151100032872,0.9979861193003308,0.998546934030805,0.9986417749706168,0.9989666164688648,0.998802400266112,0.997993303667392,0.9986549095800328,0.9986115638698014,0.9989736750130792,0.9987914457078756,0.9981418709903078,122.37009572982788,0.9987545013427734,GGAR1,128,Adaptive
7,0.9994326149531332,0.9992340062877244,0.9993368294156982,0.999285125966778,0.9992157507639424,0.9995433221239672,0.9993805332248014,0.99950261921232,0.9994413452061782,0.9993680343979788,0.9991032730533552,0.9987586488617212,0.9989513120271252,0.9988545010540594,0.998760412345553,150.52975463867188,0.9996678829193116,GGAR1,128,Adaptive
8,0.9997140010332866,0.9996468565966354,0.9996757257957248,0.9996612479520977,0.9996046076282704,0.9998339353178064,0.9997821990080208,0.9998050393938422,0.9997936079516292,0.9997703827521852,0.9997758182633388,0.99966410990674,0.999735583913398,0.9996998295096452,0.9996900677949984,128.57612490653992,0.9998339414596558,GGAR1,128,Adaptive
9,0.9997093881467268,0.9996509480133212,0.9996848113537036,0.999667756377192,0.999598276769947,0.9996678706356126,0.9996614022317374,0.999652969410736,0.999657065846862,0.9995407053549744,0.999476909281124,0.999397543062318,0.999459266537044,0.999428066530904,0.9992769477422332,107.51850843429564,0.9999584555625916,GGAR1,128,Adaptive
10,0.999437227839693,0.99912584926399,0.999346082662353,0.9992349341261128,0.9992222543180492,0.999418773612322,0.999096102581276,0.9993070248789648,0.9992003682110132,0.9991972730431496,0.999215363921686,0.9987257281553398,0.999075164295265,0.9988980497700828,0.998916041841508,106.0977017879486,0.9994187951087952,GGAR1,128,Adaptive
1,0.9994741285063866,0.9995910446080566,0.9994630900393898,0.9995268566630088,0.9992732438269668,0.9995433410826968,0.9996948513093652,0.9995812395309882,0.9996377767402688,0.9993679567783252,0.999476909281124,0.9995818844470908,0.999491594966275,0.9995365593090229,0.9992769476855774,121.9912133216858,0.999626398086548,GGAR1,128,ElasticNet
2,0.9988191010406672,0.998667834164925,0.9983098124916396,0.9984857697385322,0.9983686146416388,0.9990036119068376,0.9988841391952944,0.9985408445958917,0.9987101886944942,0.9986199227461906,0.9990285458078016,0.9988593362766134,0.998569355721877,0.9987123124005896,0.998657498144701,139.5193910598755,0.9994602799415588,GGAR1,128,ElasticNet
3,0.9995848402096096,0.9995078389683716,0.999580696214554,0.999544215454204,0.9994260136052658,0.9992942251006768,0.9990886106309582,0.9992968300725176,0.9991924733179072,0.9990249582884536,0.9995890001494544,0.9994934560001432,0.9995855133915758,0.9995394304240658,0.9994318015177736,107.15257358551024,0.9997093677520752,GGAR1,128,ElasticNet
4,0.9997093881467268,0.9997182421562892,0.999792023654646,0.9997550538551964,0.9995982600886676,0.999709386806161,0.9997059759221946,0.999779788076584,0.9997427948843566,0.9995987426210392,0.9998131818861156,0.9998291182501708,0.9998740300312404,0.9998515290577182,0.9997417657829673,121.15923929214478,0.9999584555625916,GGAR1,128,ElasticNet
5,0.9984177799099564,0.9988115398753264,0.9985715264241016,0.9986903576827348,0.9978127483172272,0.9977166106198364,0.9982261032581072,0.9979300869638114,0.998075370054145,0.9968541362430966,0.9983933642205948,0.9988194631695873,0.99855698038027,0.9986869124911332,0.9977798145500022,102.3889548778534,0.9977166056632996,GGAR1,128,ElasticNet
6,0.9997509041257656,0.9997416017695964,0.9997974450104836,0.999769490944068,0.9996556511154326,0.9996678706356126,0.9996697186403934,0.999756316016143,0.9997129555129348,0.999540889127332,0.9997758182633388,0.9997770799905228,0.9998190007345256,0.9997980182940832,0.9996900777946603,153.95108294487,0.9996678829193116,GGAR1,128,ElasticNet
7,0.9997647427854456,0.9997108081547644,0.9997847079870752,0.999747674697355,0.9996748339767684,0.9998339353178064,0.999795207864018,0.9998480474092084,0.9998215625830004,0.9997702000052854,0.9996637273950082,0.9996064909341732,0.9997282253929816,0.9996672867288744,0.999535145328204,207.00147008895877,1.0,GGAR1,128,ElasticNet
8,0.9989159716584248,0.9987555505180684,0.9983604447627852,0.998555932320038,0.9985017943839688,0.9990866442479346,0.9989451861842912,0.9985485283241292,0.9987444326841872,0.9987377332159306,0.9989538185622476,0.9987814514006232,0.998453660918422,0.9986157376354888,0.9985540871820106,150.82834696769714,0.999086618423462,GGAR1,128,ElasticNet
9,0.9992434866041774,0.9990209905115504,0.999261900711746,0.9991406656511754,0.9989545373871594,0.9992942251006768,0.9990982010258328,0.9992730809149024,0.9991849123725354,0.9990242164570136,0.9993274547900164,0.999065220476235,0.999296553268711,0.9991799832942716,0.999070564335604,226.61733102798465,0.999916970729828,GGAR1,128,ElasticNet
10,0.9997555170123256,0.9996582093441478,0.9997256005764952,0.9996918015449074,0.9996620025597472,0.9997924191472578,0.9997101547627248,0.9997569848225926,0.9997335061147548,0.99971317899758,0.9995890001494544,0.99941046944994,0.999556229506226,0.9994829602074484,0.9994319253093328,161.90921568870544,0.999916970729828,GGAR1,128,ElasticNet
1,0.9991789024047087,0.9990062255788664,0.9991883760422824,0.9990965333921096,0.9988654073509102,0.9994603121886416,0.9992937475052048,0.9994398168920872,0.9993663358822402,0.999252957919778,0.9992900911672395,0.9990840763846918,0.9992950069502844,0.9991888707022863,0.9990188497437466,167.28131937980652,1.0,GGAR1,128,FixedL1
2,0.9997601298988856,0.9997582385542596,0.9997557531006244,0.9997569399224144,0.9996684789886234,0.9995848382945156,0.9996826906645528,0.9996016720994708,0.9996419914470188,0.9994248587280732,0.999738454640562,0.9997521719904404,0.9997369542398594,0.9997444946654604,0.999638443898193,112.7144660949707,0.9995848536491394,GGAR1,128,FixedL1
3,0.9993818732009744,0.999179024316702,0.9993825023133204,0.9992803005901908,0.9991455768875748,0.9993772574417736,0.9992869939018812,0.9994618221520628,0.9993740074870424,0.9991398670617944,0.999476909281124,0.9992548553689378,0.9994389883843444,0.9993463103816632,0.9992770479586676,134.00997710227966,0.999916970729828,GGAR1,128,FixedL1
4,0.9999861613403204,0.9999829440793214,0.9999873231580548,0.9999851331670674,0.9999808649655056,1.0,1.0,1.0,1.0,1.0,0.9999252727544464,0.9999197898584926,0.9999496120124962,0.9999346951093242,0.9998966915857148,184.23723149299624,1.0,GGAR1,128,FixedL1
5,0.9996263561886486,0.999587004126238,0.9996936207149266,0.9996402624564718,0.9994833199629504,0.999709386806161,0.9996771812479086,0.9997568972793568,0.999716955184021,0.9995994055116266,0.999701091017785,0.9996343875347078,0.9997477831767088,0.999691023404796,0.9995867969972,122.59577751159668,0.9997509121894836,GGAR1,128,FixedL1
6,0.999654033508008,0.9995839663605772,0.9996745421696248,0.999629223422424,0.9995217040691072,0.9995433221239672,0.999522686475388,0.9996051682938284,0.9995639019266268,0.9993686511064118,0.999738454640562,0.9996716244275284,0.99975496570516,0.9997132743724804,0.9996384144266544,120.62509393692017,1.0,GGAR1,128,FixedL1
7,0.9994556793859324,0.9993859811321064,0.9993497189115887,0.999367356217741,0.9992477266354484,0.9995018059534188,0.9995341331815064,0.99941162362262,0.9994725644988848,0.9993106019275956,0.9996637273950082,0.9996210891549367,0.9995857879234168,0.999603203538252,0.9995351824982176,133.26273250579834,0.9999584555625916,GGAR1,128,FixedL1
8,0.9997693556720052,0.9997532790992232,0.9997200448275336,0.9997365980826364,0.9996811488226304,0.9997924191472578,0.999814579135919,0.999780565709568,0.9997975277946004,0.9997130004882376,0.999738454640562,0.9996782496782496,0.9996534388788564,0.999665670613388,0.9996384665989164,134.69019603729248,0.9997923970222472,GGAR1,128,FixedL1
9,0.9998939036091224,0.9998398528451722,0.999873941888638,0.999856861507294,0.999853331948495,0.9999169676589033,0.9999199916535664,0.9998953713052252,0.9999076721047496,0.9998851623404033,0.9998879091316694,0.9998171623598244,0.9998827588781184,0.9998499180681368,0.9998450426102988,136.19636225700378,1.0,GGAR1,128,FixedL1
10,0.9994649051590524,0.999203131759396,0.9994043853489032,0.999303088035288,0.9992604004511964,0.9993357412712252,0.9989634784197908,0.9992047126219564,0.9990825052777984,0.9990826782884692,0.9994021820355702,0.9991070732600812,0.9993677708265276,0.999236513419396,0.9991738433108104,128.01172351837158,1.0,GGAR1,128,FixedL1
1,0.9989436441049344,0.9987726968472946,0.9989308930987366,0.9988508212586948,0.9985404294344984,0.9993357688475588,0.9992226604509644,0.999364278328458,0.9992929534571606,0.999080660708153,0.9987296368255866,0.9985374643160008,0.99871258621831,0.9986233667161568,0.998244714239522,203.83181071281436,0.999335765838623,GGAR1,128,FixedL2
2,0.9973891062071002,0.9973731002404717,0.9965390342567646,0.99695057035,0.9963935722593998,0.9978411591314816,0.9979107638812348,0.9973248194517152,0.9976104895371456,0.9970123808232216,0.9971230010461816,0.9972153268566868,0.9963060928341956,0.9967512612985192,0.9960270717673606,111.68425965309144,0.99784117937088,GGAR1,128,FixedL2
3,0.997873459295889,0.9974230680968496,0.9967102593237191,0.9970513859737072,0.9970645543251406,0.9976335782787396,0.9971112751863976,0.9965465714129056,0.996814310264648,0.9967349825500028,0.998356000597818,0.9979807611866792,0.9975459380716372,0.9977558365802712,0.9977295229030986,228.47094583511355,0.9976335763931274,GGAR1,128,FixedL2
4,0.9991973577385784,0.9992519051715923,0.9991267762074144,0.9991890498438408,0.9988902619865196,0.9991696765890314,0.9991539568222396,0.9990373369862424,0.999095390041052,0.998853343872356,0.999178000298909,0.9991979947402296,0.999159202945489,0.999178385829457,0.9988636123224492,130.04031467437744,0.999169647693634,GGAR1,128,FixedL2
5,0.996346593844564,0.99433572847395,0.9963063589403476,0.995283277915204,0.9949629864539328,0.9957653506040602,0.9935614107979344,0.9957329841599808,0.9945982788387746,0.994182111537382,0.9966372739500822,0.9947426125522192,0.9966204674934686,0.995650397787612,0.9953639593938924,143.90941524505615,0.9957653284072876,GGAR1,128,FixedL2
6,0.9991512288729796,0.9991932035328432,0.9989446490635674,0.9990685674417308,0.9988266256002002,0.9992527089301284,0.9992889776714852,0.999055216601522,0.9991718809468264,0.9989668272756324,0.9987296368255866,0.9987377561125166,0.9984279670771667,0.9985823095101438,0.9982437632271752,159.07087349891663,0.9992527365684508,GGAR1,128,FixedL2
7,0.99869916599011,0.998648181594894,0.9982670219236194,0.99845652420759,0.9982020879775808,0.9987960310540956,0.9987272705120156,0.998313861904534,0.9985193939249432,0.9983340064965796,0.9989164549394708,0.9988881363897496,0.998574993055108,0.9987307940463552,0.998502197060152,174.06893920898438,0.998796045780182,GGAR1,128,FixedL2
8,0.9986576500110708,0.9985084390515953,0.998453456499922,0.9984789853217014,0.9981448578881048,0.9989620957362892,0.9989553377854422,0.998855768340056,0.9989048074046256,0.9985651249816324,0.998617545957256,0.9984635183416504,0.9984242736990032,0.998442425662354,0.9980892118922648,94.76444220542908,0.9990035891532898,GGAR1,128,FixedL2
9,0.999308067016016,0.9992902209728396,0.9993092333849498,0.9992993707254426,0.9990437101191224,0.9995848382945156,0.9996053227138312,0.9997112276032332,0.9996581168330136,0.9994260000625252,0.999476909281124,0.9995070842811256,0.9995666853713584,0.9995366812693932,0.9992770243444644,184.36027026176453,0.9995848536491394,GGAR1,128,FixedL2
